iter	Passed	Remaining
929	3549	267
930	3552	263
931	3556	259
932	3560	255
933	3563	251
934	3567	247
935	3570	244
936	3574	240
937	3578	236
938	3582	232
939	3585	228
940	3589	225
941	3593	221
942	3596	217
943	3600	213
944	3604	209
945	3608	205
946	3612	202
947	3616	198
948	3619	194
949	3624	190
950	3629	186
951	3633	183
952	3637	179
953	3641	175
954	3646	171
955	3649	167
956	3654	164
957	3658	160
958	3662	156
959	3666	152
960	3670	148
961	3674	145
962	3678	141
963	3682	137
964	3686	133
965	3691	129
966	3695	126
967	3700	122
968	3705	118
969	3709	114
970	3713	110
971	3717	107
972	3721	103
973	3725	99
974	3729	95
975	3733	91
976	3738	88
977	3741	84
978	3745	80
979	3749	76
980	3753	72
981	3758	68
982	3764	65
983	3769	61
984	3772	57
985	3777	53
986	3782	49
987	3785	45
988	3789	42
989	3793	38
990	3797	34
991	3801	30
992	3805	26
993	3809	22
994	3813	19
995	3816	15
996	3820	11
997	3824	7
998	3828	3
999	3832	0
